epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,229.684,2.10052,2.99818,0.86066,0.64161,0.46667,0.50988,0.25215,1.91877,1.85624,0.86984,6.04e-06,6.04e-06,6.04e-06
42,235.302,2.02455,2.90666,0.85086,0.62728,0.46667,0.50926,0.25123,1.92768,1.86489,0.87032,5.941e-06,5.941e-06,5.941e-06
43,240.535,2.11898,3.10098,0.87464,0.55393,0.46667,0.50611,0.24888,1.92617,1.88445,0.8699,5.842e-06,5.842e-06,5.842e-06
44,245.938,2.06267,2.82813,0.85955,0.68215,0.42939,0.51308,0.25026,1.92224,1.83257,0.86886,5.743e-06,5.743e-06,5.743e-06
45,251.301,2.17304,2.89039,0.86841,0.65344,0.46667,0.517,0.25055,1.9125,1.79177,0.87122,5.644e-06,5.644e-06,5.644e-06
46,256.79,2.03352,2.734,0.85867,0.63153,0.46667,0.51714,0.25739,1.92374,1.7996,0.86848,5.545e-06,5.545e-06,5.545e-06
47,262.842,2.09053,2.7899,0.86441,0.63365,0.46667,0.51922,0.25797,1.91253,1.77603,0.86692,5.446e-06,5.446e-06,5.446e-06
48,268.512,2.19968,2.72074,0.89668,0.64231,0.46667,0.52369,0.26007,1.8375,1.78223,0.88111,5.347e-06,5.347e-06,5.347e-06
49,274.647,2.10507,2.88538,0.89318,0.62932,0.4905,0.5408,0.26783,1.80336,1.76718,0.8817,5.248e-06,5.248e-06,5.248e-06
50,280.516,2.15673,3.09268,0.86985,0.70956,0.48863,0.54835,0.26666,1.82207,1.76418,0.88404,5.149e-06,5.149e-06,5.149e-06
51,286.356,2.15961,2.93352,0.88819,0.66962,0.48889,0.54406,0.26867,1.78238,1.78215,0.88316,5.05e-06,5.05e-06,5.05e-06
52,292.64,2.08793,2.82189,0.87653,0.64434,0.52352,0.55397,0.26554,1.76392,1.77142,0.88616,4.951e-06,4.951e-06,4.951e-06
53,298.226,2.04795,2.80915,0.84559,0.5671,0.55315,0.53047,0.2477,1.79003,1.73889,0.88745,4.852e-06,4.852e-06,4.852e-06
54,303.842,1.93171,2.82022,0.8386,0.56796,0.53333,0.51579,0.24802,1.75586,1.73845,0.8845,4.753e-06,4.753e-06,4.753e-06
55,309.394,2.05457,2.86567,0.85241,0.60556,0.51111,0.53396,0.25404,1.79447,1.72905,0.8823,4.654e-06,4.654e-06,4.654e-06
56,315.117,2.08857,2.72009,0.8867,0.61182,0.5255,0.5379,0.25959,1.87093,1.71665,0.87109,4.555e-06,4.555e-06,4.555e-06
57,320.588,2.06813,2.81684,0.89,0.628,0.53333,0.54261,0.27863,1.83824,1.71216,0.86906,4.456e-06,4.456e-06,4.456e-06
58,326.413,2.12463,2.85948,0.85981,0.58672,0.55556,0.54351,0.27829,1.8572,1.68964,0.86921,4.357e-06,4.357e-06,4.357e-06
59,331.948,2.11238,2.56187,0.87003,0.63339,0.55556,0.5507,0.28234,1.84543,1.70682,0.87281,4.258e-06,4.258e-06,4.258e-06
60,337.555,1.98445,2.75425,0.86569,0.63678,0.54556,0.54697,0.28111,1.81264,1.70404,0.87611,4.159e-06,4.159e-06,4.159e-06
61,342.859,2.03134,2.59395,0.87744,0.65462,0.53333,0.55544,0.28943,1.78881,1.70828,0.87639,4.06e-06,4.06e-06,4.06e-06
62,348.776,2.15189,2.94423,0.86384,0.64834,0.53263,0.5504,0.28313,1.79114,1.72067,0.87673,3.961e-06,3.961e-06,3.961e-06
63,354.028,2.02863,2.71687,0.85356,0.64063,0.55556,0.55221,0.28335,1.79777,1.70147,0.8766,3.862e-06,3.862e-06,3.862e-06
64,360.079,2.16398,2.81302,0.87848,0.67098,0.54398,0.54563,0.29178,1.73751,1.70032,0.88666,3.763e-06,3.763e-06,3.763e-06
65,365.902,1.94432,2.4602,0.85143,0.69194,0.54919,0.56428,0.30211,1.73666,1.69196,0.88544,3.664e-06,3.664e-06,3.664e-06
66,371.922,2.08784,2.68303,0.85985,0.68421,0.52971,0.5474,0.29383,1.73593,1.66068,0.88469,3.565e-06,3.565e-06,3.565e-06
67,377.44,2.04867,2.83749,0.87444,0.67197,0.53333,0.54729,0.28821,1.74596,1.67917,0.88631,3.466e-06,3.466e-06,3.466e-06
68,382.887,2.09073,2.83015,0.90673,0.62733,0.52386,0.52899,0.26917,1.75333,1.68845,0.88495,3.367e-06,3.367e-06,3.367e-06
69,388.244,2.06144,2.93749,0.84962,0.6666,0.53317,0.54216,0.27539,1.74754,1.67811,0.88581,3.268e-06,3.268e-06,3.268e-06
70,393.61,2.00959,2.63475,0.87051,0.63146,0.53333,0.53249,0.26402,1.75936,1.66696,0.88637,3.169e-06,3.169e-06,3.169e-06
71,399.295,2.03692,2.54457,0.87512,0.58008,0.53333,0.53171,0.25543,1.76522,1.64847,0.88779,3.07e-06,3.07e-06,3.07e-06
72,404.732,2.2654,2.97251,0.88331,0.69125,0.51111,0.5473,0.28437,1.80681,1.66549,0.87685,2.971e-06,2.971e-06,2.971e-06
73,410.098,2.16464,2.94739,0.8692,0.69375,0.51111,0.5496,0.30039,1.76674,1.6672,0.87892,2.872e-06,2.872e-06,2.872e-06
74,415.924,2.10209,2.71981,0.87718,0.6731,0.51111,0.5506,0.30276,1.76328,1.65573,0.8777,2.773e-06,2.773e-06,2.773e-06
75,421.405,2.10642,2.73263,0.84581,0.67683,0.51111,0.54812,0.29806,1.77157,1.66369,0.87358,2.674e-06,2.674e-06,2.674e-06
76,426.713,1.9548,2.41821,0.88365,0.70131,0.51111,0.54472,0.29966,1.77077,1.64927,0.87365,2.575e-06,2.575e-06,2.575e-06
77,432.136,1.9653,2.58464,0.85872,0.73108,0.51111,0.54927,0.29542,1.8186,1.64357,0.87317,2.476e-06,2.476e-06,2.476e-06
78,438.518,2.01815,2.59122,0.87065,0.65935,0.51625,0.54304,0.29168,1.85785,1.65475,0.86265,2.377e-06,2.377e-06,2.377e-06
79,444.307,1.94966,2.58086,0.85173,0.67161,0.53333,0.54643,0.28547,1.84747,1.63877,0.86761,2.278e-06,2.278e-06,2.278e-06
80,449.809,1.97379,2.45299,0.88353,0.6718,0.53333,0.54418,0.28529,1.84734,1.63823,0.86756,2.179e-06,2.179e-06,2.179e-06
81,455.28,2.09289,2.69632,0.88793,0.68509,0.51111,0.54539,0.2814,1.84539,1.65348,0.86655,2.08e-06,2.08e-06,2.08e-06
82,460.884,2.00711,2.69947,0.90908,0.69797,0.53333,0.56636,0.29507,1.82957,1.64592,0.86499,1.981e-06,1.981e-06,1.981e-06
83,466.572,2.11638,2.63444,0.86901,0.66842,0.53333,0.54504,0.27123,1.86303,1.63188,0.86733,1.882e-06,1.882e-06,1.882e-06
84,471.948,2.06363,2.64469,0.88264,0.70304,0.52625,0.54739,0.28317,1.84755,1.65914,0.86544,1.783e-06,1.783e-06,1.783e-06
85,477.78,2.07986,2.63487,0.87322,0.66355,0.51111,0.54079,0.2752,1.8672,1.6456,0.86662,1.684e-06,1.684e-06,1.684e-06
86,483.235,2.07904,2.72964,0.87659,0.65994,0.51111,0.54182,0.26977,1.86252,1.63329,0.86893,1.585e-06,1.585e-06,1.585e-06
87,488.664,2.02307,2.59832,0.85842,0.66642,0.51111,0.5396,0.27786,1.85986,1.63238,0.86924,1.486e-06,1.486e-06,1.486e-06
88,494.317,2.0054,2.55465,0.86164,0.68815,0.51111,0.54972,0.27426,1.84952,1.63482,0.86865,1.387e-06,1.387e-06,1.387e-06
89,499.918,2.09161,2.50535,0.89487,0.68672,0.51111,0.54716,0.27073,1.83668,1.63134,0.86618,1.288e-06,1.288e-06,1.288e-06
90,505.324,1.97963,2.83044,0.85377,0.67966,0.51877,0.54185,0.27075,1.84712,1.62132,0.86656,1.189e-06,1.189e-06,1.189e-06
91,512.287,1.91166,2.35743,0.868,0.6175,0.53821,0.54216,0.26883,1.81696,1.70789,0.87568,1.09e-06,1.09e-06,1.09e-06
92,517.924,1.98398,2.64836,0.85878,0.56983,0.57778,0.52841,0.25819,1.82864,1.72957,0.87753,9.91e-07,9.91e-07,9.91e-07
93,523.454,1.90076,2.5106,0.86831,0.56301,0.57778,0.52417,0.25669,1.82779,1.73185,0.87833,8.92e-07,8.92e-07,8.92e-07
94,529.263,2.01504,2.65903,0.88607,0.57753,0.57719,0.5302,0.25661,1.81321,1.73744,0.8776,7.93e-07,7.93e-07,7.93e-07
95,534.782,1.94067,2.566,0.91411,0.56027,0.55556,0.52511,0.25789,1.8153,1.73813,0.87718,6.94e-07,6.94e-07,6.94e-07
96,540.021,1.92161,2.4322,0.86358,0.55067,0.55556,0.52623,0.2498,1.812,1.73221,0.87648,5.95e-07,5.95e-07,5.95e-07
97,545.598,1.955,2.45571,0.89072,0.56075,0.53912,0.52491,0.24597,1.82854,1.73386,0.87764,4.96e-07,4.96e-07,4.96e-07
98,550.947,1.92304,2.58922,0.86691,0.57933,0.55556,0.52827,0.25154,1.82534,1.71219,0.87719,3.97e-07,3.97e-07,3.97e-07
99,556.525,1.95294,2.45677,0.88932,0.56018,0.53785,0.53379,0.25334,1.82598,1.71424,0.87545,2.98e-07,2.98e-07,2.98e-07
100,561.807,1.93939,2.51012,0.86396,0.62226,0.51111,0.53874,0.25635,1.78427,1.70907,0.88223,1.99e-07,1.99e-07,1.99e-07
